Numero nacional;Pokemon;Seccion;Modo;Tablero;Zona;Metodo;Flechas;Porcentaje referencia;Detalle
001;Bulbasaur;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
001;Bulbasaur;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
001;Bulbasaur;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
001;Bulbasaur;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
001;Bulbasaur;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
001;Bulbasaur;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
002;Ivysaur;Normal;;;;Evolucion;;;Evolucion de Bulbasaur
003;Venusaur;Normal;;;;Evolucion;;;Evolucion de Ivysaur
004;Charmander;Normal;Gen 1;Ruby;Volcano;Caza;2;20%;
004;Charmander;Normal;Gen 1;Ruby;Volcano;Caza;3;16,67%;
004;Charmander;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
005;Charmeleon;Normal;;;;Evolucion;;;Evolucion de Charmander
006;Charizard;Normal;;;;Evolucion;;;Evolucion de Charmeleon
007;Squirtle;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
007;Squirtle;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
007;Squirtle;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2 flechas
007;Squirtle;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2 flechas
008;Wartortle;Normal;;;;Evolucion;;;Evolucion de Squirtle
009;Blastoise;Normal;;;;Evolucion;;;Evolucion de Wartortle
010;Caterpie;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
010;Caterpie;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
010;Caterpie;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
010;Caterpie;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
010;Caterpie;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
010;Caterpie;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
011;Metapod;Normal;;;;Evolucion;;;Evolucion de Caterpie
012;Butterfree;Normal;;;;Evolucion;;;Evolucion de Metapod
013;Weedle;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
013;Weedle;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
013;Weedle;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
013;Weedle;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
013;Weedle;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
013;Weedle;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
014;Kakuna;Normal;;;;Evolucion;;;Evolucion de Weedle
015;Beedrill;Normal;;;;Evolucion;;;Evolucion de Kakuna
016;Pidgey;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
016;Pidgey;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
016;Pidgey;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
016;Pidgey;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
016;Pidgey;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
016;Pidgey;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
016;Pidgey;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
016;Pidgey;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
016;Pidgey;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
017;Pidgeotto;Normal;;;;Evolucion;;;Evolucion de Pidgey
018;Pidgeot;Normal;;;;Evolucion;;;Evolucion de Pidgeotto
019;Rattata;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
019;Rattata;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
019;Rattata;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
019;Rattata;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
019;Rattata;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
019;Rattata;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
019;Rattata;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
019;Rattata;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
019;Rattata;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
020;Raticate;Normal;;;;Evolucion;;;Evolucion de Rattata
021;Spearow;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
021;Spearow;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
021;Spearow;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2 flechas
021;Spearow;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2 flechas
022;Fearow;Normal;;;;Evolucion;;;Evolucion de Spearow
023;Ekans;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
023;Ekans;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
023;Ekans;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2 flechas
023;Ekans;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2 flechas
024;Arbok;Normal;;;;Evolucion;;;Evolucion de Ekans
025;Pikachu;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
025;Pikachu;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
025;Pikachu;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
025;Pikachu;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
025;Pikachu;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
025;Pikachu;Normal;Gen 3;Ruby;Safari Zone;Caza;3;16,39%;
025;Pikachu;Normal;RANDOM;Ruby;City;Candidato a caza;;;3 flechas
025;Pikachu;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
025;Pikachu;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;3 flechas
025;Pikachu;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
025;Pikachu;Normal;;;;Evolucion;;;Evolucion de Pichu
026;Raichu;Normal;;;;Evolucion;;;Evolucion de Pikachu
027;Sandshrew;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
027;Sandshrew;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
027;Sandshrew;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;3 flechas
027;Sandshrew;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;3 flechas
028;Sandslash;Normal;;;;Evolucion;;;Evolucion de Sandshrew
029;Nidoran F;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
029;Nidoran F;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
029;Nidoran F;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
029;Nidoran F;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
029;Nidoran F;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
029;Nidoran F;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
030;Nidorina;Normal;;;;Evolucion;;;Evolucion de Nidoran F
031;Nidoqueen;Normal;;;;Evolucion;;;Evolucion de Nidorina
032;Nidoran M;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
032;Nidoran M;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
032;Nidoran M;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
032;Nidoran M;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
032;Nidoran M;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
032;Nidoran M;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
033;Nidorino;Normal;;;;Evolucion;;;Evolucion de Nidoran M
034;Nidoking;Normal;;;;Evolucion;;;Evolucion de Nidorino
035;Clefairy;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
035;Clefairy;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
035;Clefairy;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
035;Clefairy;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
035;Clefairy;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
035;Clefairy;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
035;Clefairy;Normal;;;;Evolucion;;;Evolucion de Cleffa
036;Clefable;Normal;;;;Evolucion;;;Evolucion de Clefairy
037;Vulpix;Normal;Gen 1;Ruby;Volcano;Caza;2;20%;
037;Vulpix;Normal;Gen 1;Ruby;Volcano;Caza;3;16,67%;
037;Vulpix;Normal;Gen 3;Ruby;Volcano;Caza;2;19,61%;
037;Vulpix;Normal;Gen 3;Ruby;Volcano;Caza;3;19,61%;
037;Vulpix;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
038;Ninetales;Normal;;;;Evolucion;;;Evolucion de Vulpix
039;Jigglypuff;Normal;Gen 3;Zafiro;Plains;Caza;2;16,39%;
039;Jigglypuff;Normal;Gen 3;Zafiro;Plains;Caza;3;14,08%;
039;Jigglypuff;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
039;Jigglypuff;Normal;;;;Evolucion;;;Evolucion de Igglybuff
040;Wigglytuff;Normal;;;;Evolucion;;;Evolucion de Jigglypuff
041;Zubat;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
041;Zubat;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
041;Zubat;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
041;Zubat;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
041;Zubat;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
041;Zubat;Normal;Gen 3;Zafiro;Ice Cave;Caza;2;19,23%;
041;Zubat;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
041;Zubat;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2 flechas
041;Zubat;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
042;Golbat;Normal;;;;Evolucion;;;Evolucion de Zubat
043;Oddish;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
043;Oddish;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
043;Oddish;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
043;Oddish;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
043;Oddish;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
043;Oddish;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
044;Gloom;Normal;;;;Evolucion;;;Evolucion de Oddish
045;Vileplume;Normal;;;;Evolucion;;;Evolucion de Gloom (Ruby)
046;Paras;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
046;Paras;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
046;Paras;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
046;Paras;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
046;Paras;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
046;Paras;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
047;Parasect;Normal;;;;Evolucion;;;Evolucion de Paras
048;Venonat;Normal;Gen 1;Ruby;Forest;Caza;2;12,5%;
048;Venonat;Normal;Gen 1;Ruby;Forest;Caza;3;12,5%;
048;Venonat;Normal;Gen 1;Zafiro;Forest;Caza;2;12,5%;
048;Venonat;Normal;Gen 1;Zafiro;Forest;Caza;3;12,5%;
048;Venonat;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
048;Venonat;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
049;Venomoth;Normal;;;;Evolucion;;;Evolucion de Venonat
050;Diglett;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
050;Diglett;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
050;Diglett;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
050;Diglett;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
050;Diglett;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
050;Diglett;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
051;Dugtrio;Normal;;;;Evolucion;;;Evolucion de Diglett
052;Meowth;Normal;Gen 1;Ruby;Plains;Caza;2;12,5%;
052;Meowth;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
052;Meowth;Normal;Gen 1;Zafiro;Plains;Caza;2;12,5%;
052;Meowth;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
052;Meowth;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
052;Meowth;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
052;Meowth;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
052;Meowth;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
052;Meowth;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
053;Persian;Normal;;;;Evolucion;;;Evolucion de Meowth
054;Psyduck;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
054;Psyduck;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
054;Psyduck;Normal;Gen 3;Ruby;Safari Zone;Caza;2;16,39%;
054;Psyduck;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2 flechas
054;Psyduck;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
055;Golduck;Normal;;;;Evolucion;;;Evolucion de Psyduck
056;Mankey;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
056;Mankey;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
056;Mankey;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
057;Primeape;Normal;;;;Evolucion;;;Evolucion de Mankey
058;Growlithe;Normal;Gen 1;Ruby;Plains;Caza;3;12,5%;
058;Growlithe;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
058;Growlithe;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;3 flechas
058;Growlithe;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;3 flechas
059;Arcanine;Normal;;;;Evolucion;;;Evolucion de Growlithe
060;Poliwag;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
060;Poliwag;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
060;Poliwag;Normal;Gen 2;Zafiro;Lake;Caza;2;14,29%;
060;Poliwag;Normal;Gen 2;Zafiro;Lake;Caza;3;14,29%;
060;Poliwag;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
061;Poliwhirl;Normal;;;;Evolucion;;;Evolucion de Poliwag
062;Poliwrath;Normal;;;;Evolucion;;;Evolucion de Poliwhirl (Ruby)
063;Abra;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
063;Abra;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
063;Abra;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
063;Abra;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
063;Abra;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
063;Abra;Normal;Gen 3;Ruby;Cave;Caza;3;19,61%;
